GOST_Number;FullDesignation;ThreadSize;MaterialGroup;Coating;SteelGrade;ThreadDiameter;ThreadPitch
10605-94;Gajka M 72x6.0.23.08X18H10T GOST 10605-94;M 72x6.0;23;;08X18H10T;72.0;6.0
10605-94;Gajka M 72x6.0.25.10X17H13M2T GOST 10605-94;M 72x6.0;25;;10X17H13M2T;72.0;6.0
10605-94;Gajka M 76x4.0.02 GOST 10605-94;M 76x4.0;02;;;76.0;4.0
10605-94;Gajka M 76x4.0.02.019 GOST 10605-94;M 76x4.0;02;019;;76.0;4.0
10605-94;Gajka M 76x4.0.02.029 GOST 10605-94;M 76x4.0;02;029;;76.0;4.0
10605-94;Gajka M 76x4.0.02.019.01 GOST 10605-94;M 76x4.0;02;019.01;;76.0;4.0
10605-94;Gajka M 76x4.0.02.016 GOST 10605-94;M 76x4.0;02;016;;76.0;4.0
10605-94;Gajka M 76x4.0.02.019.06 GOST 10605-94;M 76x4.0;02;019.06;;76.0;4.0
10605-94;Gajka M 76x4.0.04 GOST 10605-94;M 76x4.0;04;;;76.0;4.0
10605-94;Gajka M 76x4.0.04.019 GOST 10605-94;M 76x4.0;04;019;;76.0;4.0
10605-94;Gajka M 76x4.0.04.029 GOST 10605-94;M 76x4.0;04;029;;76.0;4.0
10605-94;Gajka M 76x4.0.04.019.01 GOST 10605-94;M 76x4.0;04;019.01;;76.0;4.0
10605-94;Gajka M 76x4.0.04.016 GOST 10605-94;M 76x4.0;04;016;;76.0;4.0
10605-94;Gajka M 76x4.0.04.019.06 GOST 10605-94;M 76x4.0;04;019.06;;76.0;4.0
10605-94;Gajka M 76x4.0.05 GOST 10605-94;M 76x4.0;05;;;76.0;4.0
10605-94;Gajka M 76x4.0.05.019 GOST 10605-94;M 76x4.0;05;019;;76.0;4.0
10605-94;Gajka M 76x4.0.05.029 GOST 10605-94;M 76x4.0;05;029;;76.0;4.0
10605-94;Gajka M 76x4.0.05.019.01 GOST 10605-94;M 76x4.0;05;019.01;;76.0;4.0
10605-94;Gajka M 76x4.0.05.016 GOST 10605-94;M 76x4.0;05;016;;76.0;4.0
10605-94;Gajka M 76x4.0.05.019.06 GOST 10605-94;M 76x4.0;05;019.06;;76.0;4.0
10605-94;Gajka M 76x4.0.06 GOST 10605-94;M 76x4.0;06;;;76.0;4.0
10605-94;Gajka M 76x4.0.06.019 GOST 10605-94;M 76x4.0;06;019;;76.0;4.0
10605-94;Gajka M 76x4.0.06.029 GOST 10605-94;M 76x4.0;06;029;;76.0;4.0
10605-94;Gajka M 76x4.0.06.019.01 GOST 10605-94;M 76x4.0;06;019.01;;76.0;4.0
10605-94;Gajka M 76x4.0.06.016 GOST 10605-94;M 76x4.0;06;016;;76.0;4.0
10605-94;Gajka M 76x4.0.06.019.06 GOST 10605-94;M 76x4.0;06;019.06;;76.0;4.0
10605-94;Gajka M 76x4.0.07 GOST 10605-94;M 76x4.0;07;;;76.0;4.0
10605-94;Gajka M 76x4.0.07.019 GOST 10605-94;M 76x4.0;07;019;;76.0;4.0
10605-94;Gajka M 76x4.0.07.029 GOST 10605-94;M 76x4.0;07;029;;76.0;4.0
10605-94;Gajka M 76x4.0.07.019.01 GOST 10605-94;M 76x4.0;07;019.01;;76.0;4.0
10605-94;Gajka M 76x4.0.07.016 GOST 10605-94;M 76x4.0;07;016;;76.0;4.0
10605-94;Gajka M 76x4.0.07.019.06 GOST 10605-94;M 76x4.0;07;019.06;;76.0;4.0
10605-94;Gajka M 76x4.0.11.12X18H10T GOST 10605-94;M 76x4.0;11;;12X18H10T;76.0;4.0
10605-94;Gajka M 76x4.0.21.12X18H9T GOST 10605-94;M 76x4.0;21;;12X18H9T;76.0;4.0
10605-94;Gajka M 76x4.0.21.12X18H10T GOST 10605-94;M 76x4.0;21;;12X18H10T;76.0;4.0
10605-94;Gajka M 76x4.0.23.08X18H10T GOST 10605-94;M 76x4.0;23;;08X18H10T;76.0;4.0
10605-94;Gajka M 76x4.0.25.10X17H13M2T GOST 10605-94;M 76x4.0;25;;10X17H13M2T;76.0;4.0
10605-94;Gajka M 76x6.0.02 GOST 10605-94;M 76x6.0;02;;;76.0;6.0
10605-94;Gajka M 76x6.0.02.019 GOST 10605-94;M 76x6.0;02;019;;76.0;6.0
10605-94;Gajka M 76x6.0.02.029 GOST 10605-94;M 76x6.0;02;029;;76.0;6.0
10605-94;Gajka M 76x6.0.02.019.01 GOST 10605-94;M 76x6.0;02;019.01;;76.0;6.0
10605-94;Gajka M 76x6.0.02.016 GOST 10605-94;M 76x6.0;02;016;;76.0;6.0
10605-94;Gajka M 76x6.0.02.019.06 GOST 10605-94;M 76x6.0;02;019.06;;76.0;6.0
10605-94;Gajka M 76x6.0.04 GOST 10605-94;M 76x6.0;04;;;76.0;6.0
10605-94;Gajka M 76x6.0.04.019 GOST 10605-94;M 76x6.0;04;019;;76.0;6.0
10605-94;Gajka M 76x6.0.04.029 GOST 10605-94;M 76x6.0;04;029;;76.0;6.0
10605-94;Gajka M 76x6.0.04.019.01 GOST 10605-94;M 76x6.0;04;019.01;;76.0;6.0
10605-94;Gajka M 76x6.0.04.016 GOST 10605-94;M 76x6.0;04;016;;76.0;6.0
10605-94;Gajka M 76x6.0.04.019.06 GOST 10605-94;M 76x6.0;04;019.06;;76.0;6.0
10605-94;Gajka M 76x6.0.05 GOST 10605-94;M 76x6.0;05;;;76.0;6.0
10605-94;Gajka M 76x6.0.05.019 GOST 10605-94;M 76x6.0;05;019;;76.0;6.0
10605-94;Gajka M 76x6.0.05.029 GOST 10605-94;M 76x6.0;05;029;;76.0;6.0
10605-94;Gajka M 76x6.0.05.019.01 GOST 10605-94;M 76x6.0;05;019.01;;76.0;6.0
10605-94;Gajka M 76x6.0.05.016 GOST 10605-94;M 76x6.0;05;016;;76.0;6.0
10605-94;Gajka M 76x6.0.05.019.06 GOST 10605-94;M 76x6.0;05;019.06;;76.0;6.0
10605-94;Gajka M 76x6.0.06 GOST 10605-94;M 76x6.0;06;;;76.0;6.0
10605-94;Gajka M 76x6.0.06.019 GOST 10605-94;M 76x6.0;06;019;;76.0;6.0
10605-94;Gajka M 76x6.0.06.029 GOST 10605-94;M 76x6.0;06;029;;76.0;6.0
10605-94;Gajka M 76x6.0.06.019.01 GOST 10605-94;M 76x6.0;06;019.01;;76.0;6.0
10605-94;Gajka M 76x6.0.06.016 GOST 10605-94;M 76x6.0;06;016;;76.0;6.0
10605-94;Gajka M 76x6.0.06.019.06 GOST 10605-94;M 76x6.0;06;019.06;;76.0;6.0
10605-94;Gajka M 76x6.0.07 GOST 10605-94;M 76x6.0;07;;;76.0;6.0
10605-94;Gajka M 76x6.0.07.019 GOST 10605-94;M 76x6.0;07;019;;76.0;6.0
10605-94;Gajka M 76x6.0.07.029 GOST 10605-94;M 76x6.0;07;029;;76.0;6.0
10605-94;Gajka M 76x6.0.07.019.01 GOST 10605-94;M 76x6.0;07;019.01;;76.0;6.0
10605-94;Gajka M 76x6.0.07.016 GOST 10605-94;M 76x6.0;07;016;;76.0;6.0
10605-94;Gajka M 76x6.0.07.019.06 GOST 10605-94;M 76x6.0;07;019.06;;76.0;6.0
10605-94;Gajka M 76x6.0.11.12X18H10T GOST 10605-94;M 76x6.0;11;;12X18H10T;76.0;6.0
10605-94;Gajka M 76x6.0.21.12X18H9T GOST 10605-94;M 76x6.0;21;;12X18H9T;76.0;6.0
10605-94;Gajka M 76x6.0.21.12X18H10T GOST 10605-94;M 76x6.0;21;;12X18H10T;76.0;6.0
10605-94;Gajka M 76x6.0.23.08X18H10T GOST 10605-94;M 76x6.0;23;;08X18H10T;76.0;6.0
10605-94;Gajka M 76x6.0.25.10X17H13M2T GOST 10605-94;M 76x6.0;25;;10X17H13M2T;76.0;6.0
10605-94;Gajka M 80x4.0.02 GOST 10605-94;M 80x4.0;02;;;80.0;4.0
10605-94;Gajka M 80x4.0.02.019 GOST 10605-94;M 80x4.0;02;019;;80.0;4.0
10605-94;Gajka M 80x4.0.02.029 GOST 10605-94;M 80x4.0;02;029;;80.0;4.0
10605-94;Gajka M 80x4.0.02.019.01 GOST 10605-94;M 80x4.0;02;019.01;;80.0;4.0
10605-94;Gajka M 80x4.0.02.016 GOST 10605-94;M 80x4.0;02;016;;80.0;4.0
10605-94;Gajka M 80x4.0.02.019.06 GOST 10605-94;M 80x4.0;02;019.06;;80.0;4.0
10605-94;Gajka M 80x4.0.04 GOST 10605-94;M 80x4.0;04;;;80.0;4.0
10605-94;Gajka M 80x4.0.04.019 GOST 10605-94;M 80x4.0;04;019;;80.0;4.0
10605-94;Gajka M 80x4.0.04.029 GOST 10605-94;M 80x4.0;04;029;;80.0;4.0
10605-94;Gajka M 80x4.0.04.019.01 GOST 10605-94;M 80x4.0;04;019.01;;80.0;4.0
10605-94;Gajka M 80x4.0.04.016 GOST 10605-94;M 80x4.0;04;016;;80.0;4.0
10605-94;Gajka M 80x4.0.04.019.06 GOST 10605-94;M 80x4.0;04;019.06;;80.0;4.0
10605-94;Gajka M 80x4.0.05 GOST 10605-94;M 80x4.0;05;;;80.0;4.0
10605-94;Gajka M 80x4.0.05.019 GOST 10605-94;M 80x4.0;05;019;;80.0;4.0
10605-94;Gajka M 80x4.0.05.029 GOST 10605-94;M 80x4.0;05;029;;80.0;4.0
10605-94;Gajka M 80x4.0.05.019.01 GOST 10605-94;M 80x4.0;05;019.01;;80.0;4.0
10605-94;Gajka M 80x4.0.05.016 GOST 10605-94;M 80x4.0;05;016;;80.0;4.0
10605-94;Gajka M 80x4.0.05.019.06 GOST 10605-94;M 80x4.0;05;019.06;;80.0;4.0
10605-94;Gajka M 80x4.0.06 GOST 10605-94;M 80x4.0;06;;;80.0;4.0
10605-94;Gajka M 80x4.0.06.019 GOST 10605-94;M 80x4.0;06;019;;80.0;4.0
10605-94;Gajka M 80x4.0.06.029 GOST 10605-94;M 80x4.0;06;029;;80.0;4.0
10605-94;Gajka M 80x4.0.06.019.01 GOST 10605-94;M 80x4.0;06;019.01;;80.0;4.0
10605-94;Gajka M 80x4.0.06.016 GOST 10605-94;M 80x4.0;06;016;;80.0;4.0
10605-94;Gajka M 80x4.0.06.019.06 GOST 10605-94;M 80x4.0;06;019.06;;80.0;4.0
10605-94;Gajka M 80x4.0.07 GOST 10605-94;M 80x4.0;07;;;80.0;4.0
10605-94;Gajka M 80x4.0.07.019 GOST 10605-94;M 80x4.0;07;019;;80.0;4.0
10605-94;Gajka M 80x4.0.07.029 GOST 10605-94;M 80x4.0;07;029;;80.0;4.0
10605-94;Gajka M 80x4.0.07.019.01 GOST 10605-94;M 80x4.0;07;019.01;;80.0;4.0
10605-94;Gajka M 80x4.0.07.016 GOST 10605-94;M 80x4.0;07;016;;80.0;4.0
10605-94;Gajka M 80x4.0.07.019.06 GOST 10605-94;M 80x4.0;07;019.06;;80.0;4.0
10605-94;Gajka M 80x4.0.11.12X18H10T GOST 10605-94;M 80x4.0;11;;12X18H10T;80.0;4.0
10605-94;Gajka M 80x4.0.21.12X18H9T GOST 10605-94;M 80x4.0;21;;12X18H9T;80.0;4.0
10605-94;Gajka M 80x4.0.21.12X18H10T GOST 10605-94;M 80x4.0;21;;12X18H10T;80.0;4.0
10605-94;Gajka M 80x4.0.23.08X18H10T GOST 10605-94;M 80x4.0;23;;08X18H10T;80.0;4.0
10605-94;Gajka M 80x4.0.25.10X17H13M2T GOST 10605-94;M 80x4.0;25;;10X17H13M2T;80.0;4.0
10605-94;Gajka M 80x6.0.02 GOST 10605-94;M 80x6.0;02;;;80.0;6.0
10605-94;Gajka M 80x6.0.02.019 GOST 10605-94;M 80x6.0;02;019;;80.0;6.0
10605-94;Gajka M 80x6.0.02.029 GOST 10605-94;M 80x6.0;02;029;;80.0;6.0
10605-94;Gajka M 80x6.0.02.019.01 GOST 10605-94;M 80x6.0;02;019.01;;80.0;6.0
10605-94;Gajka M 80x6.0.02.016 GOST 10605-94;M 80x6.0;02;016;;80.0;6.0
10605-94;Gajka M 80x6.0.02.019.06 GOST 10605-94;M 80x6.0;02;019.06;;80.0;6.0
10605-94;Gajka M 80x6.0.04 GOST 10605-94;M 80x6.0;04;;;80.0;6.0
10605-94;Gajka M 80x6.0.04.019 GOST 10605-94;M 80x6.0;04;019;;80.0;6.0
10605-94;Gajka M 80x6.0.04.029 GOST 10605-94;M 80x6.0;04;029;;80.0;6.0
10605-94;Gajka M 80x6.0.04.019.01 GOST 10605-94;M 80x6.0;04;019.01;;80.0;6.0
10605-94;Gajka M 80x6.0.04.016 GOST 10605-94;M 80x6.0;04;016;;80.0;6.0
10605-94;Gajka M 80x6.0.04.019.06 GOST 10605-94;M 80x6.0;04;019.06;;80.0;6.0
10605-94;Gajka M 80x6.0.05 GOST 10605-94;M 80x6.0;05;;;80.0;6.0
10605-94;Gajka M 80x6.0.05.019 GOST 10605-94;M 80x6.0;05;019;;80.0;6.0
10605-94;Gajka M 80x6.0.05.029 GOST 10605-94;M 80x6.0;05;029;;80.0;6.0
10605-94;Gajka M 80x6.0.05.019.01 GOST 10605-94;M 80x6.0;05;019.01;;80.0;6.0
10605-94;Gajka M 80x6.0.05.016 GOST 10605-94;M 80x6.0;05;016;;80.0;6.0
10605-94;Gajka M 80x6.0.05.019.06 GOST 10605-94;M 80x6.0;05;019.06;;80.0;6.0
10605-94;Gajka M 80x6.0.06 GOST 10605-94;M 80x6.0;06;;;80.0;6.0
10605-94;Gajka M 80x6.0.06.019 GOST 10605-94;M 80x6.0;06;019;;80.0;6.0
10605-94;Gajka M 80x6.0.06.029 GOST 10605-94;M 80x6.0;06;029;;80.0;6.0
10605-94;Gajka M 80x6.0.06.019.01 GOST 10605-94;M 80x6.0;06;019.01;;80.0;6.0
10605-94;Gajka M 80x6.0.06.016 GOST 10605-94;M 80x6.0;06;016;;80.0;6.0
10605-94;Gajka M 80x6.0.06.019.06 GOST 10605-94;M 80x6.0;06;019.06;;80.0;6.0
10605-94;Gajka M 80x6.0.07 GOST 10605-94;M 80x6.0;07;;;80.0;6.0
10605-94;Gajka M 80x6.0.07.019 GOST 10605-94;M 80x6.0;07;019;;80.0;6.0
10605-94;Gajka M 80x6.0.07.029 GOST 10605-94;M 80x6.0;07;029;;80.0;6.0
10605-94;Gajka M 80x6.0.07.019.01 GOST 10605-94;M 80x6.0;07;019.01;;80.0;6.0
10605-94;Gajka M 80x6.0.07.016 GOST 10605-94;M 80x6.0;07;016;;80.0;6.0
10605-94;Gajka M 80x6.0.07.019.06 GOST 10605-94;M 80x6.0;07;019.06;;80.0;6.0
10605-94;Gajka M 80x6.0.11.12X18H10T GOST 10605-94;M 80x6.0;11;;12X18H10T;80.0;6.0
10605-94;Gajka M 80x6.0.21.12X18H9T GOST 10605-94;M 80x6.0;21;;12X18H9T;80.0;6.0
10605-94;Gajka M 80x6.0.21.12X18H10T GOST 10605-94;M 80x6.0;21;;12X18H10T;80.0;6.0
10605-94;Gajka M 80x6.0.23.08X18H10T GOST 10605-94;M 80x6.0;23;;08X18H10T;80.0;6.0
10605-94;Gajka M 80x6.0.25.10X17H13M2T GOST 10605-94;M 80x6.0;25;;10X17H13M2T;80.0;6.0
10605-94;Gajka M 90x4.0.02 GOST 10605-94;M 90x4.0;02;;;90.0;4.0
10605-94;Gajka M 90x4.0.02.019 GOST 10605-94;M 90x4.0;02;019;;90.0;4.0
10605-94;Gajka M 90x4.0.02.029 GOST 10605-94;M 90x4.0;02;029;;90.0;4.0
10605-94;Gajka M 90x4.0.02.019.01 GOST 10605-94;M 90x4.0;02;019.01;;90.0;4.0
10605-94;Gajka M 90x4.0.02.016 GOST 10605-94;M 90x4.0;02;016;;90.0;4.0
10605-94;Gajka M 90x4.0.02.019.06 GOST 10605-94;M 90x4.0;02;019.06;;90.0;4.0
10605-94;Gajka M 90x4.0.04 GOST 10605-94;M 90x4.0;04;;;90.0;4.0
10605-94;Gajka M 90x4.0.04.019 GOST 10605-94;M 90x4.0;04;019;;90.0;4.0
10605-94;Gajka M 90x4.0.04.029 GOST 10605-94;M 90x4.0;04;029;;90.0;4.0
10605-94;Gajka M 90x4.0.04.019.01 GOST 10605-94;M 90x4.0;04;019.01;;90.0;4.0
10605-94;Gajka M 90x4.0.04.016 GOST 10605-94;M 90x4.0;04;016;;90.0;4.0
10605-94;Gajka M 90x4.0.04.019.06 GOST 10605-94;M 90x4.0;04;019.06;;90.0;4.0
10605-94;Gajka M 90x4.0.05 GOST 10605-94;M 90x4.0;05;;;90.0;4.0
10605-94;Gajka M 90x4.0.05.019 GOST 10605-94;M 90x4.0;05;019;;90.0;4.0
10605-94;Gajka M 90x4.0.05.029 GOST 10605-94;M 90x4.0;05;029;;90.0;4.0
10605-94;Gajka M 90x4.0.05.019.01 GOST 10605-94;M 90x4.0;05;019.01;;90.0;4.0
10605-94;Gajka M 90x4.0.05.016 GOST 10605-94;M 90x4.0;05;016;;90.0;4.0
10605-94;Gajka M 90x4.0.05.019.06 GOST 10605-94;M 90x4.0;05;019.06;;90.0;4.0
10605-94;Gajka M 90x4.0.06 GOST 10605-94;M 90x4.0;06;;;90.0;4.0
10605-94;Gajka M 90x4.0.06.019 GOST 10605-94;M 90x4.0;06;019;;90.0;4.0
10605-94;Gajka M 90x4.0.06.029 GOST 10605-94;M 90x4.0;06;029;;90.0;4.0
10605-94;Gajka M 90x4.0.06.019.01 GOST 10605-94;M 90x4.0;06;019.01;;90.0;4.0
10605-94;Gajka M 90x4.0.06.016 GOST 10605-94;M 90x4.0;06;016;;90.0;4.0
10605-94;Gajka M 90x4.0.06.019.06 GOST 10605-94;M 90x4.0;06;019.06;;90.0;4.0
10605-94;Gajka M 90x4.0.07 GOST 10605-94;M 90x4.0;07;;;90.0;4.0
10605-94;Gajka M 90x4.0.07.019 GOST 10605-94;M 90x4.0;07;019;;90.0;4.0
10605-94;Gajka M 90x4.0.07.029 GOST 10605-94;M 90x4.0;07;029;;90.0;4.0
10605-94;Gajka M 90x4.0.07.019.01 GOST 10605-94;M 90x4.0;07;019.01;;90.0;4.0
10605-94;Gajka M 90x4.0.07.016 GOST 10605-94;M 90x4.0;07;016;;90.0;4.0
10605-94;Gajka M 90x4.0.07.019.06 GOST 10605-94;M 90x4.0;07;019.06;;90.0;4.0
10605-94;Gajka M 90x4.0.11.12X18H10T GOST 10605-94;M 90x4.0;11;;12X18H10T;90.0;4.0
10605-94;Gajka M 90x4.0.21.12X18H9T GOST 10605-94;M 90x4.0;21;;12X18H9T;90.0;4.0
10605-94;Gajka M 90x4.0.21.12X18H10T GOST 10605-94;M 90x4.0;21;;12X18H10T;90.0;4.0
10605-94;Gajka M 90x4.0.23.08X18H10T GOST 10605-94;M 90x4.0;23;;08X18H10T;90.0;4.0
10605-94;Gajka M 90x4.0.25.10X17H13M2T GOST 10605-94;M 90x4.0;25;;10X17H13M2T;90.0;4.0
10605-94;Gajka M 90x6.0.02 GOST 10605-94;M 90x6.0;02;;;90.0;6.0
10605-94;Gajka M 90x6.0.02.019 GOST 10605-94;M 90x6.0;02;019;;90.0;6.0
10605-94;Gajka M 90x6.0.02.029 GOST 10605-94;M 90x6.0;02;029;;90.0;6.0
10605-94;Gajka M 90x6.0.02.019.01 GOST 10605-94;M 90x6.0;02;019.01;;90.0;6.0
10605-94;Gajka M 90x6.0.02.016 GOST 10605-94;M 90x6.0;02;016;;90.0;6.0
10605-94;Gajka M 90x6.0.02.019.06 GOST 10605-94;M 90x6.0;02;019.06;;90.0;6.0
10605-94;Gajka M 90x6.0.04 GOST 10605-94;M 90x6.0;04;;;90.0;6.0
10605-94;Gajka M 90x6.0.04.019 GOST 10605-94;M 90x6.0;04;019;;90.0;6.0
10605-94;Gajka M 90x6.0.04.029 GOST 10605-94;M 90x6.0;04;029;;90.0;6.0
10605-94;Gajka M 90x6.0.04.019.01 GOST 10605-94;M 90x6.0;04;019.01;;90.0;6.0
10605-94;Gajka M 90x6.0.04.016 GOST 10605-94;M 90x6.0;04;016;;90.0;6.0
10605-94;Gajka M 90x6.0.04.019.06 GOST 10605-94;M 90x6.0;04;019.06;;90.0;6.0
10605-94;Gajka M 90x6.0.05 GOST 10605-94;M 90x6.0;05;;;90.0;6.0
10605-94;Gajka M 90x6.0.05.019 GOST 10605-94;M 90x6.0;05;019;;90.0;6.0
10605-94;Gajka M 90x6.0.05.029 GOST 10605-94;M 90x6.0;05;029;;90.0;6.0
10605-94;Gajka M 90x6.0.05.019.01 GOST 10605-94;M 90x6.0;05;019.01;;90.0;6.0
10605-94;Gajka M 90x6.0.05.016 GOST 10605-94;M 90x6.0;05;016;;90.0;6.0
10605-94;Gajka M 90x6.0.05.019.06 GOST 10605-94;M 90x6.0;05;019.06;;90.0;6.0
10605-94;Gajka M 90x6.0.06 GOST 10605-94;M 90x6.0;06;;;90.0;6.0
10605-94;Gajka M 90x6.0.06.019 GOST 10605-94;M 90x6.0;06;019;;90.0;6.0
10605-94;Gajka M 90x6.0.06.029 GOST 10605-94;M 90x6.0;06;029;;90.0;6.0
10605-94;Gajka M 90x6.0.06.019.01 GOST 10605-94;M 90x6.0;06;019.01;;90.0;6.0
10605-94;Gajka M 90x6.0.06.016 GOST 10605-94;M 90x6.0;06;016;;90.0;6.0
10605-94;Gajka M 90x6.0.06.019.06 GOST 10605-94;M 90x6.0;06;019.06;;90.0;6.0
10605-94;Gajka M 90x6.0.07 GOST 10605-94;M 90x6.0;07;;;90.0;6.0
10605-94;Gajka M 90x6.0.07.019 GOST 10605-94;M 90x6.0;07;019;;90.0;6.0
10605-94;Gajka M 90x6.0.07.029 GOST 10605-94;M 90x6.0;07;029;;90.0;6.0
10605-94;Gajka M 90x6.0.07.019.01 GOST 10605-94;M 90x6.0;07;019.01;;90.0;6.0
10605-94;Gajka M 90x6.0.07.016 GOST 10605-94;M 90x6.0;07;016;;90.0;6.0
10605-94;Gajka M 90x6.0.07.019.06 GOST 10605-94;M 90x6.0;07;019.06;;90.0;6.0
10605-94;Gajka M 90x6.0.11.12X18H10T GOST 10605-94;M 90x6.0;11;;12X18H10T;90.0;6.0
10605-94;Gajka M 90x6.0.21.12X18H9T GOST 10605-94;M 90x6.0;21;;12X18H9T;90.0;6.0
10605-94;Gajka M 90x6.0.21.12X18H10T GOST 10605-94;M 90x6.0;21;;12X18H10T;90.0;6.0
10605-94;Gajka M 90x6.0.23.08X18H10T GOST 10605-94;M 90x6.0;23;;08X18H10T;90.0;6.0
10605-94;Gajka M 90x6.0.25.10X17H13M2T GOST 10605-94;M 90x6.0;25;;10X17H13M2T;90.0;6.0
10605-94;Gajka M 100x4.0.02 GOST 10605-94;M 100x4.0;02;;;100.0;4.0
